id,op,subop,fecha,hora_inicio,hora_fin,id_rrhh,nº_tocholargo,long_inicial,long_tocho_cortado,cant_tochos cortados ,peso_promedio,long_final,Peso del resto del tocho
257,54,2,20191015,084400,091300,000011,343,580,44.4,13,14.436,1.6,0.44
258,54,2,20191015,091900,095200,000011,344,580,44.4,13,14.432,5,353.462
259,54,2,20191015,100500,102900,000011,345,580,44.4,13,14.432,4.5,14.739
260,54,2,20191015,103800,110900,000011,346,580,44.4,13,14.446,4.5,14.652
261,54,2,20191015,111600,114500,000011,347,580,44.4,13,14.441,4,0.21
262,54,2,20191015,131900,134400,000011,348,580,44.4,13,14.435,4.5,14.665
263,54,2,20191015,134900,141200,000011,349,580,44.4,13,14.454,4.6,14.589
264,54,2,20191015,141600,144100,000011,350,580,44.4,13,14.464,4.4,14.392
265,54,2,20191016,071300,NULL,000011,351,580,44.4,13,14.407,2.2,6.736
266,54,2,20191016,074500,080000,000011,352,580,44.4,10,14.419,135.6,NULL
267,54,3,20191016,094800,095200,000011,353,101.9,43.1,2,14.05,5.1,4.932
268,54,3,20191016,100300,103200,000011,354,580,43.1,13,14.054,14.2,46.717
269,54,3,20191016,104300,105300,000011,355,580,43.1,5,14.104,361.5,NULL
270,54,4,20191016,105700,111300,000011,355,361.5,43.1,8,14.145,10.7,38.381
271,54,4,20191016,112500,115400,000011,356,580,43.1,13,14.185,6.5,2.117
272,54,4,20191016,132700,135200,000011,357,580,43.1,13,13.978,19.7,6.399
273,54,4,20191016,140500,143300,000011,358,580,43.1,13,14,17.5,5.782
274,54,4,20191016,143700,143800,000011,352,43.1,43.1,1,14.045,17.5,NULL
275,54,5,20191019,111000,111600,000011,363,170.1,54.2,3,17.644,6.7,2.254
276,54,5,20191019,112200,114000,000011,264,580,54.2,10,17.64,35.8,11.688
277,54,5,20191019,114300,120000,000011,365,580,54.2,10,17.66,35.8,11.641
278,54,5,20191023,131100,132900,000011,366,580,54.5,10,17.651,35.2,11.531
279,54,5,20191023,133200,135000,000011,367,580,54.5,10,17.666,35.6,11.614
280,54,5,20191023,140300,142500,000011,368,580,54.5,10,17.658,35.4,11.558
281,54,5,20191023,143700,150000,000011,369,600,54.5,11,17.49,2.5,0.724
282,54,5,20191023,150700,015300,000011,370,600,54.5,11,17.543,2.4,0.83
283,54,5,20191023,153300,153600,000011,371,600,54,1,17.493,547.5,NULL
284,54,6,20191023,131800,133500,000011,371,547.5,58.5,9,18.858,19.1,6.092
285,54,6,20191023,134500,140700,000011,372,600,58.5,10,18.925,14.5,4.625
286,54,6,20191024,141800,144700,000011,373,600,58.5,10,18.822,12.9,4.101
287,54,6,20191024,150600,152900,000011,374,600,58.5,10,18.925,14,4.508
288,54,6,20191024,164600,165500,000011,376,253,58.5,4,18.797,20,6.459
289,54,6,20191025,071000,073400,000011,377,600,58.5,10,18.778,15.8,5.082
290,54,6,20191025,084000,075200,000011,378,600,58.5,10,18.765,14.6,4.745
291,54,6,20191025,082600,084400,000011,379,600,58.5,7,18.773,191.1,NULL
292,54,7,20191016,145300,152400,000011,359,586,37.6,15,12.171,15.3,4.875
293,54,7,20191016,160200,163400,000011,360,580,37.6,15,12.178,14.8,4.725
294,54,7,20191016,163800,165100,000011,361,580,37.6,6,12.198,353.7,NULL
295,54,7,20191017,065800,071700,000011,361,353.7,37.6,9,12.192,12,4.658
296,54,7,20191017,073700,073900,000011,317,40.1,37.6,1,12.194,2.2,0.737
297,54,7,20191017,074100,074200,000011,323,53.5,37.6,1,12.194,15.9,5.195
298,54,7,20191017,074700,074900,000011,311,45.5,37.6,1,12.198,7.8,2.534
299,54,7,20191017,075000,075400,000011,320,45,37.6,1,12.214,7,2.324
300,54,7,20191017,082400,082500,000011,319,44,37.6,1,12.201,6.6,2.233
301,54,7,20191017,082700,082800,000011,315,41.7,37.6,1,12.211,4,1.297
302,54,7,20191017,083000,083900,000011,314,42.5,37.6,1,12.208,4.6,1.501
303,54,7,20191017,083400,083600,000011,316,40.5,37.6,1,12.211,2.8,0.93
304,54,7,20191025,085100,090300,000011,379,191.1,37.6,5,12.112,2.9,0.58
305,54,7,20191025,090800,094000,000011,380,600,37.6,15,12.146,32.9,10.617
306,54,7,20191025,094900,095100,000011,368,42.8,37.6,1,12.261,5,1.657
307,54,7,20191025,095400,100400,000011,370,120,37.6,3,12.231,7.2,NULL
308,55,1,20191016,085700,091000,000011,353,580,38.2,6,12.401,349,NULL
309,55,2,20191016,091400,092600,000011,353,349,41.2,6,13.382,101.9,NULL
310,55,3,20191016,083000,083600,000011,352,135.6,46.1,2,15.04,42.8,14.045
311,55,3,20191016,081100,084300,000011,329,49.5,46.1,1,15.019,3,10.737
312,55,3,20191016,084400,084600,000011,322,53.6,46.1,1,15.045,7,2.354
313,56,1,20191017,091000,102100,000011,362,580,44.4,7,14.421,268.4,NULL
314,57,1,20191022,160300,160600,000011,262,268.4,48.7,2,15.816,170.7,NULL
315,57,2,20191022,161600,161900,000011,262,170.7,63.7,2,20.744,42.8,14.022
316,57,3,20191022,163000,163400,000011,263,580,46.1,2,15.065,487.6,NULL
317,57,4,20191022,163700,163900,000011,263,487.6,43.9,2,14.563,399.6,NULL
318,57,5,20191022,164100,164500,000011,263,399.6,34.2,2,11.207,330.1,NULL
319,57,6,20191022,164700,165700,000011,263,330.1,34.9,2,11.339,260,NULL
320,57,7,20191022,165300,165600,000011,263,260,44.7,2,14.523,170,NULL
321,58,1,20191024,154800,161300,000011,375,600,49.6,12,15.946,5.3,1.651
322,58,1,20191024,162800,164200,000011,376,600,49.6,7,16.012,253,NULL
323,59,1,20191028,050000,530000,000011,381,600,40.3,14,12.963,37.1,11.951
324,59,1,20191028,053800,061100,000011,382,600,40.5,14,13.028,37,12.061
325,59,1,20191028,062300,065700,000011,383,600,40.3,14,12.985,38.1,12.328
326,59,1,20191028,071800,073800,000011,384,600,40.3,10,12.948,198.7,NULL
327,59,2,20191028,074700,075600,000011,384,198.7,46.2,4,14.88,12.8,4.145
328,59,2,20191028,082500,085100,000011,385,600,46.2,12,14.92,45.4,14.662
329,59,2,20191028,090300,094000,000011,386,600,46.2,12,14.929,45.4,14.715
330,59,2,20191028,101500,103900,000011,387,600,46.2,12,14.983,42.4,13.784
331,59,2,20191028,104800,1100000,000011,388,600,46.2,5,14.927,360.2,NULL
332,59,3,20191029,073000,074600,000011,392,331.8,36.8,8,11.928,34.5,11.114
333,59,3,20191029,083000,090300,000011,393,600,36.8,16,11.985,6,2.074
334,59,3,20191029,091200,91500,000011,394,600,36.8,16,11.996,2.5,0.667
335,59,3,20191029,101700,105500,000011,395,600,36.8,16,12.036,1.5,0.457
336,59,3,20191029,105700,105900,000011,282,38,36.8,1,12.061,0,0
337,59,4,20191028,143000,144900,000011,388,360.2,44.3,8,14.272,13.5,4.288
338,59,4,20191028,150000,153000,000011,389,600,44.3,13,14.33,13.7,7.316
339,59,4,20191028,155000,162200,000011,390,600,44.3,13,14.043,19.8,63.99
340,59,4,20191028,162900,165600,000011,391,600,44.3,13,14.32,24.1,NULL
341,59,4,20191029,071100,072400,000011,392,600,44.3,6,14.369,331.8,NULL
342,60,1,20191030,153000,160400,000011,396,600,48.9,12,15.797,17.2,5.542
343,60,1,20191030,161200,163600,000011,397,600,48.9,12,15.799,15.7,5.145
344,60,1,20191031,063900,065800,000011,398,600,48.9,12,15.76,15.6,5.038
345,60,1,20191031,071000,072100,000011,399,600,48.9,7,15.704,258.4,NULL
346,60,2,20191031,073800,074500,000011,399,258.4,48.5,5,8.191,14.9,4.828
347,60,2,20191031,082200,083800,000011,400,600,48.5,12,15.644,16.4,5.312
348,60,2,20191031,084600,091300,000011,401,600,48.5,12,15.6,15.2,4.862
349,60,2,20191031,092400,094900,000011,402,600,48.5,12,15.65,12.9,4.208
350,60,2,20191031,095700,100100,000011,403,600,48.5,2,15.789,503,NULL
351,60,3,20191031,101600,104500,000011,403,503,35.5,14,11.561,4,0.167
352,60,3,20191031,105800,112200,000011,404,600,35.5,16,11.484,26.7,8.596
353,60,3,20191031,132400,135500,000011,405,600,35.5,16,11.51,16.2,8.5
354,60,3,20191031,140900,143000,000011,406,600,35.5,13,11.536,134.2,NULL
355,61,1,20191104,070800,071400,000011,406,134.1,38.8,3,12.555,17,5.499
356,61,1,20191104,071600,074600,000011,407,600,38.8,15,12.572,14,4.522
357,61,1,20191104,082300,083300,000011,408,600,38.8,7,12.543,327.2,NULL
358,61,3,20191104,084100,084900,000011,408,327.2,49.7,6,16.073,17.7,0.9
359,61,3,20191104,085800,091500,000011,409,600,49.7,12,15.974,2.7,0.897
360,61,3,20191104,092300,092500,000011,410,600,49.7,1,15.959,550.1,NULL
361,61,4,20191104,093700,095300,000011,410,550.1,53.4,10,17.168,14.3,4.605
362,61,4,20191104,100800,102000,000011,411,600,53.4,8,17.211,173.4,NULL
363,61,5,20191104,102400,102700,000011,411,173.4,58.5,2,18.818,56,18.043
364,61,5,20191104,103600,115300,000011,412,600,58.5,10,18.887,16.5,53.92
365,61,5,20191104,110200,110700,000011,413,600,58.5,4,18.845,399.6,NULL
366,62,3,20191107,063200,064000,000011,420,170.2,40,4,12.895,9.3,31.011
367,62,3,20191107,065100,071900,000011,421,600,40,14,12.897,38.5,12.395
368,62,3,20191107,073000,075100,000011,422,600,40,10,12.938,199.2,NULL
369,62,3,20191107,082500,082900,000011,422,199.2,40,4,12.928,38.4,12.511
370,62,3,20191107,083600,085400,000011,423,600,40,10,12.907,199,NULL
371,62,4,20191107,090800,091500,000011,423,199,52,3,16.853,40.6,13.765
372,62,4,20191107,092400,094300,000011,424,600,52,11,16.756,26.4,8.586
373,62,4,20191107,100200,100400,000011,425,600,52,1,16.873,548.7,NULL
374,62,4,20191107,102600,105100,000011,426,600,52,11,16.784,25.7,8.363
375,62,4,20191107,110400,112400,000011,427,600,52,11,16.739,26,8.376
376,62,4,20191107,113400,114000,000011,428,600,52,4,17.43,392.1,NULL
377,62,5,20191107,131200,132500,000011,428,392.1,43.1,9,13.859,20.8,7.569
378,62,5,20191107,134600,141200,000011,429,600,43.1,13,13.912,20.2,27.677
379,62,5,20191107,142900,145300,000011,430,600,43.1,13,13.952,41.6,13.522
380,62,5,20191107,130400,153300,000011,431,600,43.1,13,13.9,41.3,12.835
381,62,5,20191107,153500,153700,000011,412,49,43.1,1,13.895,5.5,1.784
382,62,6,20191107,155200,162000,000011,432,600,42.6,14,13.724,4.5,14.572
383,62,6,20191107,062900,164100,000011,433,600,42.6,6,13.738,346.9,NULL
384,64,1,20191125,095200,095700,000011,434,600,36.1,3,11.581,495.7,NULL
385,64,2,20191125,102300,103000,000011,434,495.7,32.6,3,10.511,396.8,NULL
386,64,2,20191125,104800,111000,000011,434,369.8,32.6,12,10.504,2.4,NULL
387,64,2,20191125,113600,113800,000011,422,38.4,32.6,1,10.571,5.5,1.837
388,64,2,20191125,114000,114200,000011,366,35.2,32.6,1,10.607,2.4,0.814
389,64,2,20191125,114400,114600,000011,430,41.6,32.6,1,10.564,8.6,2.851
390,64,2,20191125,114800,115000,000011,264,38.8,32.6,1,10.594,3,0.964
391,64,2,20191125,131100,131300,000011,368,35.4,35.4,1,10.621,3.1,0.804
392,64,2,20191125,131500,131800,000011,387,42.4,32.6,1,10.54,9.5,3.138
393,64,2,20191125,132100,132200,000011,386,45.4,32.6,1,10.54,12.3,4.028
394,64,2,20191125,132400,132500,000011,423,40.6,32.6,1,10.517,9.5,3.148
395,64,2,20191125,132800,132900,000011,429,41.5,32.6,1,10.537,8.5,2.821
396,64,2,20191125,133500,133800,000011,329,33.5,32.6,1,10.54,1,0.147
397,64,2,20191125,134300,134500,000011,385,45.9,32.6,1,10.537,12.7,4.068
398,64,2,20191125,134900,135000,000011,381,37.1,32.6,1,10.55,4,1.29
399,64,2,20191125,135100,135300,000011,271,34.1,32.6,1,10.54,1.4,0.63
400,64,2,20191125,135500,135700,000011,431,41.3,32.6,1,10.54,8.1,2.654
401,64,2,20191125,140000,140200,000011,270,35.1,32.6,1,10.48,2.7,0.854
402,64,2,20191125,140300,140600,000011,380,44.7,32.6,1,10.634,11.8,3.848
403,64,2,20191125,140800,141000,000011,383,38.1,32.6,1,10.564,5,1.651
404,64,2,20191125,143000,130800,000011,435,600,32.6,18,10.559,8,2.631
405,64,2,20191125,151900,153000,000011,436,600,32.6,5,10.567,436.5,NULL
406,65,1,20191126,102700,104600,000011,436,436.5,47.9,9,15.51,2.8,0.854
407,65,1,20191126,105700,112200,000011,437,600,47.9,12,15.459,22,7.173
408,65,1,20191126,113500,115500,000011,438,600,47.9,7,15.44,260.6,NULL
409,65,1,20191126,131100,131600,000011,438,260.6,47.9,3,15.41,119.3,NULL
410,65,1,20191127,073900,074100,000011,438,119.3,47.9,2,15.399,23.1,7.426
411,65,1,20191127,082200,084500,000011,439,600,47.9,12,15.419,23.9,7.706
412,65,1,20191127,090000,082500,000011,440,600,47.9,12,15.457,23,7.513
413,65,1,20191127,094400,100700,000011,441,600,47.9,12,15.5,22.8,7.413
414,65,1,20191127,101800,104100,000011,442,600,47.9,12,15.417,27.2,8.74
415,65,1,20191127,105300,111500,000011,443,600,47.9,12,15.43,26.9,8.68
416,65,1,20191127,112800,114100,000011,444,600,47.9,7,15.556,265,NULL
417,66,1,20191127,151100,152300,000011,444,265,36,7,11.653,11.1,3.668
418,66,1,20191127,153400,160700,000011,445,600,36,16,11.608,24.2,7.766
419,66,1,20191127,161900,163000,000011,446,600,36,6,11.598,387.1,NULL
420,67,1,20191129,150900,152700,000011,446,387.1,37.5,10,12.063,10,3.178
421,67,1,20191129,153700,160500,000011,447,600,37.5,16,12.041,38.2,12.261
423,67,1,20191202,100600,101800,000011,452,251.6,37.5,6,12.095,26,8.436
424,67,1,20191202,103000,104700,000011,453,600,37.5,8,12.118,299.5,NULL
425,67,2,20191202,070600,073700,000011,449,600,39.1,15,12.593,13.1,5.469
426,67,2,20191202,081900,083700,000011,450,600,39.1,15,12.57,13.2,5.432
427,67,2,20191202,085800,093100,000011,451,600,39.1,15,12.538,13.4,5.525
