op,subop,cod_perfil,long_perfil__m,cant_perfil_min,estado
51,1,PROFILE-0138,6,0,0
51,2,PROFILE-0174,6,0,0
51,3,PROFILE-0096,6,0,0
51,4,PROFILE-0139,6,0,0
52,1,PROFILE-0138,6,17,0
53,1,PROFILE-0078,6,65,0
54,1,PROFILE-0180,6,200,0
54,2,PROFILE-0183,6,1534,0
54,3,PROFILE-0185,3.8,30,-1
54,4,PROFILE-0185,4,100,0
54,5,PROFILE-0177,6,550,0
54,6,PROFILE-0175,6,450,0
54,7,PROFILE-0181,6,300,0
55,1,PROFILE-0100,6,12,0
55,2,PROFILE-0138,6,17,0
55,3,PROFILE-0139,6,12,0
56,1,PROFILE-0133,6,45,0
57,1,PROFILE-0141,6,0,0
57,2,PROFILE-0142,6,0,0
57,3,PROFILE-0140,6,0,0
57,4,PROFILE-0146,6,0,0
57,5,PROFILE-0143,6,0,0
57,6,PROFILE-0145,6,0,0
57,7,PROFILE-0144,6,0,0
58,1,PROFILE-0066,6,6,0
59,1,PROFILE-0077,6,278,0
59,2,PROFILE-0079,6,203,0
59,3,PROFILE-0180,6,224,0
59,4,PROFILE-0181,6,172,0
60,1,PROFILE-0074,6,15,0
60,2,PROFILE-0078,6,80,0
60,3,PROFILE-0080,6,88,0
61,1,PROFILE-0087,6,1,0
61,2,PROFILE-0089,6,1,0
61,3,PROFILE-0086,6,1,0
61,4,PROFILE-0134,6,1,0
61,5,PROFILE-0088,6,1,0
62,1,PROFILE-0121,6,22,0
62,2,PROFILE-0168,6,22,0
62,3,PROFILE-0123,6,6,0
62,4,PROFILE-0159,6,10,0
62,5,PROFILE-0064,6,20,0
62,6,PROFILE-0164,6,10,0
63,1,PROFILE-0140,6,0,0
63,2,PROFILE-0141,6,0,0
63,3,PROFILE-0142,6,0,0
64,1,PROFILE-0174,6,0,0
64,2,PROFILE-0133,5,91,0
65,1,PROFILE-0175,6,284,0
66,1,PROFILE-0174,6,105,0
67,1,PROFILE-0179,6,20,0
67,2,PROFILE-0126,6,5,0
68,1,PROFILE-0076,6,86,0
69,1,PROFILE-0083,6,218,0
69,2,PROFILE-0124,6,95,0
69,3,PROFILE-0116,6,51,0
69,4,PROFILE-0169,6,107,0
69,5,PROFILE-0117,6,1697,0
70,1,PROFILE-0096,6,200,0
71,1,PROFILE-0082,6,758,0
71,2,PROFILE-0132,6,97,0
71,3,PROFILE-0161,6,144,0
71,4,PROFILE-0162,6,252,0
72,1,PROFILE-0148,6,167,0
72,2,PROFILE-0149,4.65,187,0
72,3,PROFILE-0149,6.2,72,0
73,1,PROFILE-0083,6,234,0
73,2,PROFILE-0180,6,94,0
74,1,PROFILE-0082,6,657,0
75,1,PROFILE-0077,6,125,0
75,2,PROFILE-0120,6,117,0
75,3,PROFILE-0106,6,426,0
75,4,PROFILE-0169,6,106,0
76,1,PROFILE-0148,6,161,0
76,2,PROFILE-0149,6.2,72,0
76,3,PROFILE-0075,6,653,0
76,4,PROFILE-0076,6,678,0
76,5,PROFILE-0079,6,507,0
