nro_canasto,cod_perfil,long__m,cantidad,op_extrusion,subop_extrusion,,
16,PROFILE-0078,6,343,NULL,NULL,,
16,PROFILE-0078,5,96,NULL,NULL,,
16,PROFILE-0082,6,9,NULL,NULL,,
16,PROFILE-0084,5,3,NULL,NULL,,
16,PROFILE-0105,6,10,NULL,NULL,,
16,PROFILE-0105,5,3,NULL,NULL,,
16,PROFILE-0106,6,8,NULL,NULL,,
16,PROFILE-0126,6,245,67,2,,
16,PROFILE-0182,6,3,NULL,NULL,,
16,PROFILE-0182,4,1,NULL,NULL,,
16,PROFILE-0128,6,38,78,4,,
17,PROFILE-0078,6,60,NULL,NULL,,
17,PROFILE-0078,5,1,NULL,NULL,,
17,PROFILE-0093,6,192,NULL,NULL,,
18,PROFILE-0093,6,123,NULL,NULL,,
18,PROFILE-0095,6,163,NULL,NULL,,
18,PROFILE-0175,6,2,NULL,NULL,,
18,PROFILE-0175,5,1,NULL,NULL,,
19,PROFILE-0095,6,205,NULL,NULL,,
20,PROFILE-0175,6,56,NULL,NULL,,
21,PROFILE-0098,6,212,NULL,NULL,,
21,PROFILE-0117,6,30,NULL,NULL,,
21,PROFILE-0117,5,6,NULL,NULL,,
21,PROFILE-0117,4,18,NULL,NULL,,
22,PROFILE-0161,6,11,NULL,NULL,,
22,PROFILE-0161,4,2,NULL,NULL,,
22,PROFILE-0126,6,34,NULL,NULL,,
22,PROFILE-0126,5,2,NULL,NULL,,
22,PROFILE-0126,4,4,NULL,NULL,,
22,PROFILE-0126,3,3,NULL,NULL,,
22,PROFILE-0182,6,12,NULL,NULL,,
22,PROFILE-0182,5,3,NULL,NULL,,
22,PROFILE-0182,4,1,NULL,NULL,,
23,PROFILE-0116,6,12,NULL,NULL,,
23,PROFILE-0116,5,2,NULL,NULL,,
23,PROFILE-0116,4,1,NULL,NULL,,
23,PROFILE-0120,6,5,NULL,NULL,,
23,PROFILE-0120,5,1,NULL,NULL,,
23,PROFILE-0124,6,9,NULL,NULL,,
23,PROFILE-0124,5,1,NULL,NULL,,
23,PROFILE-0124,4,1,NULL,NULL,,
23,PROFILE-0187,6,7,NULL,NULL,,
23,PROFILE-0187,5,2,NULL,NULL,,
24,PROFILE-0104,6,83,NULL,NULL,,
24,PROFILE-0104,6,25,NULL,NULL,,
24,PROFILE-0104,4,10,NULL,NULL,,
24,PROFILE-0104,3,8,NULL,NULL,,
24,PROFILE-0157,6,9,NULL,NULL,,
24,PROFILE-0157,4,1,NULL,NULL,,
24,PROFILE-0157,3,2,NULL,NULL,,
24,PROFILE-0125,6,7,NULL,NULL,,
24,PROFILE-0125,5,2,NULL,NULL,,
24,PROFILE-0125,4,2,NULL,NULL,,
24,PROFILE-0125,3,1,NULL,NULL,,
24,PROFILE-0169,6,7,NULL,NULL,,
24,PROFILE-0169,5,1,NULL,NULL,,
24,PROFILE-0127,6,1,NULL,NULL,,
24,PROFILE-0127,6,13,NULL,NULL,,
24,PROFILE-0127,5,2,NULL,NULL,,
25,PROFILE-0104,6,119,NULL,NULL,,
25,PROFILE-0104,5,23,NULL,NULL,,
25,PROFILE-0149,6.2,16,72,3,,
25,PROFILE-0181,6,81,NULL,NULL,,
25,PROFILE-0181,5,1,NULL,NULL,,
25,PROFILE-0181,4,1,NULL,NULL,,
25,PROFILE-0181,3,2,NULL,NULL,,
25,PROFILE-0188,6,36,78,5,,
26,PROFILE-0116,5,38,NULL,NULL,,
26,PROFILE-0116,5,3,NULL,NULL,,
26,PROFILE-0116,3,1,NULL,NULL,,
26,PROFILE-0120,6,64,NULL,NULL,,
26,PROFILE-0120,5,1,NULL,NULL,,
26,PROFILE-0120,4,1,NULL,NULL,,
27,PROFILE-0124,6,39,NULL,NULL,,
27,PROFILE-0124,4,1,NULL,NULL,,
28,PROFILE-0124,6,57,NULL,NULL,,
28,PROFILE-0124,5,1,NULL,NULL,,
29,PROFILE-0125,5,44,NULL,NULL,,
29,PROFILE-0125,4,10,NULL,NULL,,
29,PROFILE-0169,4.5,14,NULL,NULL,,
30,PROFILE-0169,4.5,36,NULL,NULL,,
30,PROFILE-0169,4,11,NULL,NULL,,
31,PROFILE-0163,6,44,NULL,NULL,,
31,PROFILE-0163,5,2,NULL,NULL,,
31,PROFILE-0169,5,10,NULL,NULL,,
31,PROFILE-0169,4,6,NULL,NULL,,
32,PROFILE-0161,6,22,NULL,NULL,,
32,PROFILE-0161,5,1,NULL,NULL,,
32,PROFILE-0162,6,89,NULL,NULL,,
32,PROFILE-0162,5,1,NULL,NULL,,
33,PROFILE-0116,6,24,NULL,NULL,,
33,PROFILE-0116,4,1,NULL,NULL,,
33,PROFILE-0157,6,59,NULL,NULL,,
33,PROFILE-0157,5,1,NULL,NULL,,
33,PROFILE-0161,6,11,NULL,NULL,,
33,PROFILE-0161,5,1,NULL,NULL,,
34,PROFILE-0116,6,46,NULL,NULL,,
34,PROFILE-0116,5,2,NULL,NULL,,
34,PROFILE-0116,4,1,NULL,NULL,,
34,PROFILE-0117,6,187,NULL,NULL,,
34,PROFILE-0117,5,42,NULL,NULL,,
34,PROFILE-0117,3,11,NULL,NULL,,
35,PROFILE-0124,6,32,NULL,NULL,,
