OPP,SOPP,P,SP
97,2,106,2
97,3,96,5
98,1,108,3
98,2,108,4
98,3,108,7
99,1,117,1
99,2,117,2
100,1,108,2
101,3,56,6
101,2,56,7
101,1,108,9
102,3,117,2
102,2,94,5
102,1,56,7
103,1,118,1
104,1,115,3
104,2,115,4
105,2,101,1
105,5,101,2
105,3,104,2
105,6,55,4
105,4,94,11
105,7,94,8
105,1,94,9
106,4,82,1
106,2,96,1
106,1,57,4
106,3,96,4
106,5,96,7
106,6,96,8
107,2,94,1
107,1,56,2
107,6,117,2
107,3,101,10
107,4,101,11
107,5,101,15
108,2,82,2
108,1,56,7
109,1,117,1
109,2,117,2
110,1,96,16
111,2,101,4
111,3,94,8
111,1,94,9
112,3,120,3
112,4,120,4
112,5,120,5
112,1,108,6
112,2,108,8
112,6,120,7
112,7,120,8
113,7,108,1
113,1,120,1
113,6,120,2
113,2,120,3
113,3,120,4
113,4,120,7
113,5,120,8
114,1,120,1
114,2,120,2
114,3,120,3
114,4,120,4
114,5,120,5
114,8,108,7
114,9,108,8
114,6,120,7
114,7,120,8
115,1,120,3
115,2,120,4
115,3,120,7
115,4,120,8
116,1,119,1
116,3,121,1
116,4,121,2
116,2,115,3
116,5,121,3
116,6,121,4
117,1,88,1
118,1,118,1
119,1,115,3
120,3,123,1
120,4,123,2
120,1,120,3
120,2,120,7
121,5,94,1
121,1,124,1
121,2,124,3
121,7,120,4
121,3,124,4
121,6,120,3
121,4,124,6
122,1,115,1
122,2,121,1
122,3,101,4
123,4,120,1
123,1,100,2
123,3,120,4
123,2,120,3
124,4,59,3
124,5,82,8
124,1,120,10
124,2,120,12
124,3,120,16
125,1,125,1
125,2,125,2
125,3,125,3
125,4,125,4
125,5,125,5
125,6,125,6
125,7,125,7
126,1,130,4
126,2,130,8
126,3,130,1
127,1,121,1
127,5,129,1
127,2,121,2
127,3,121,3
127,4,121,4
127,6,129,5
127,7,129,6
127,8,129,7
127,9,129,10
128,1,115,4
128,2,119,2
128,3,115,5
129,11,108,1
129,4,123,1
129,5,123,2
129,9,108,3
129,7,124,5
129,2,108,6
129,1,56,7
129,10,108,7
129,3,108,9
130,3,115,1
130,2,121,3
130,4,131,3
130,5,132,5
130,1,101,6
130,6,132,6
130,7,132,7
130,8,94,16
131,1,88,1
132,1,130,2
132,2,130,3
132,3,130,5
132,4,130,6
132,5,130,7
132,9,130,8
