nro_op,nro_subop,codigo,long__m,cant,id_estado_op
81,7,PROFILE-0164,6,10,0
81,8,PROFILE-0082,6,25,0
82,1,PROFILE-0076,6,55,0
82,2,PROFILE-0075,6,55,0
82,3,PROFILE-0079,6,5,0
82,4,PROFILE-0080,6,4,0
82,5,PROFILE-0077,6,50,0
82,6,PROFILE-0074,6,86,0
82,7,PROFILE-0081,6,55,0
82,8,PROFILE-0180,6,50,0
82,9,PROFILE-0181,6,50,0
82,10,PROFILE-0061,6,5,0
82,11,PROFILE-0061,4.5,1,0
82,12,PROFILE-0062,6,12,0
82,13,PROFILE-0063,6,2,0
83,1,PROFILE-0076,6,26,0
83,2,PROFILE-0075,6,40,0
83,3,PROFILE-0074,6,75,0
83,4,PROFILE-0081,6,50,0
83,5,PROFILE-0177,6,61,0
83,7,PROFILE-0181,6,50,0
84,1,PROFILE-0134,6,30,0
84,2,PROFILE-0086,6,30,0
84,3,PROFILE-0087,6,30,0
84,4,PROFILE-0081,6,30,0
85,1,PROFILE-0134,6,50,0
85,2,PROFILE-0086,6,50,0
85,3,PROFILE-0087,6,50,0
86,1,PROFILE-0076,6,56,0
86,2,PROFILE-0075,6,56,0
86,3,PROFILE-0080,6,150,0
86,4,PROFILE-0077,6,13,0
86,5,PROFILE-0078,6,91,0
87,1,PROFILE-0183,6,3,0
87,2,PROFILE-0183,5,3,0
88,1,PROFILE-0076,6,30,0
88,2,PROFILE-0075,6,80,0
88,3,PROFILE-0079,6,46,0
88,4,PROFILE-0080,6,300,0
88,5,PROFILE-0078,6,205,0
88,6,PROFILE-0077,6,66,0
88,7,PROFILE-0074,6,65,0
88,8,PROFILE-0081,6,60,0
88,9,PROFILE-0179,6,30,0
88,10,PROFILE-0126,6,30,0
89,1,PROFILE-0111,6,2,0
90,1,PROFILE-0159,6,10,0
91,1,PROFILE-0177,6,16,0
91,2,PROFILE-0175,6,8,0
91,3,PROFILE-0082,6,36,0
91,4,PROFILE-0082,6,50,0
91,5,PROFILE-0177,6,28,0
92,1,PROFILE-0082,6,50,0
92,2,PROFILE-0177,6,11,0
92,3,PROFILE-0175,6,6,0
92,4,PROFILE-0177,6,61,0
92,5,PROFILE-0082,6,23,0
92,6,PROFILE-0002,6,3,0
92,7,PROFILE-0010,6,3,0
92,8,PROFILE-0005,6,1,0
92,9,PROFILE-0007,6,1,0
93,1,PROFILE-0120,6,45,0
93,2,PROFILE-0125,6,90,0
93,3,PROFILE-0124,6,157,0
93,4,PROFILE-0116,6,65,0
93,5,PROFILE-0157,6,87,0
93,6,PROFILE-0162,6,135,0
93,7,PROFILE-0169,6,36,0
93,8,PROFILE-0161,6,31,0
93,9,PROFILE-0117,6,427,0
93,10,PROFILE-0122,6,11,0
93,11,PROFILE-0168,6,11,0
93,12,PROFILE-0123,6,3,0
93,13,PROFILE-0175,6,4,0
94,1,PROFILE-0082,6,20,0
94,2,PROFILE-0177,6,36,0
94,3,PROFILE-0054,6,3,0
94,4,PROFILE-0053,6,3,0
94,5,PROFILE-0013,6,1,0
94,6,PROFILE-0052,6,3,0
95,1,PROFILE-0065,6,18,0
95,2,PROFILE-0068,6,12,0
95,3,PROFILE-0182,6,15,0
96,1,PROFILE-0180,6,50,0
96,2,PROFILE-0083,6,12,0
96,3,PROFILE-0083,6,69,0
97,1,PROFILE-0002,6,3,0
97,2,PROFILE-0010,6,3,0
97,3,PROFILE-0083,6,42,0
98,1,PROFILE-0124,6,252,0
98,2,PROFILE-0116,6,117,0
98,3,PROFILE-0169,6,143,0
99,1,PROFILE-0165,6,2,0
99,2,PROFILE-0171,6,2,0
100,1,PROFILE-0125,6,27,0
101,1,PROFILE-0117,6,796,0
101,2,PROFILE-0175,6,60,0
101,3,PROFILE-0177,6,52,0
102,1,PROFILE-0175,6,128,0
102,2,PROFILE-0175,6,76,0
102,3,PROFILE-0171,6,1,0
103,1,PROFILE-0132,6,90,0
104,1,PROFILE-0148,6,43,0
104,2,PROFILE-0105,6,9,0
105,1,PROFILE-0083,6,69,0
105,2,PROFILE-0076,6,30,0
105,3,PROFILE-0126,6,10,0
105,4,PROFILE-0078,6,6,0
105,5,PROFILE-0075,6,4,0
105,6,PROFILE-0082,6,71,0
105,7,PROFILE-0082,6,145,0
106,1,PROFILE-0082,6,20,0
106,2,PROFILE-0076,6,27,0
106,3,PROFILE-0082,6,70,0
106,4,PROFILE-0077,6,15,0
106,5,PROFILE-0077,6,2,0
106,6,PROFILE-0074,6,4,0
107,1,PROFILE-0082,6,101,0
107,2,PROFILE-0082,6,143,0
107,3,PROFILE-0076,6,15,0
107,4,PROFILE-0075,6,13,0
107,5,PROFILE-0074,6,2,0
107,6,PROFILE-0171,6,2,0
108,1,PROFILE-0175,6,20,0
108,2,PROFILE-0077,6,108,0
109,1,PROFILE-0165,5,10,0
109,2,PROFILE-0171,5,10,0
110,1,PROFILE-0082,6,82,0
111,1,PROFILE-0083,6,35,0
111,2,PROFILE-0083,6,99,0
111,3,PROFILE-0082,6,11,0
112,1,PROFILE-0162,6,41,0
112,2,PROFILE-0161,6,49,0
112,3,PROFILE-0079,6,50,0
112,4,PROFILE-0076,6,60,0
112,5,PROFILE-0075,6,60,0
112,6,PROFILE-0074,6,100,0
112,7,PROFILE-0077,6,100,0
113,1,PROFILE-0083,6,30,0
113,2,PROFILE-0079,6,50,0
113,3,PROFILE-0076,6,50,0
113,4,PROFILE-0074,6,50,0
113,5,PROFILE-0077,6,100,0
113,6,PROFILE-0082,6,30,0
113,7,PROFILE-0120,6,72,0
114,1,PROFILE-0083,6,21,0
114,2,PROFILE-0082,6,20,0
114,3,PROFILE-0079,6,50,0
114,4,PROFILE-0076,6,30,0
114,5,PROFILE-0075,6,31,0
114,6,PROFILE-0074,6,50,0
114,7,PROFILE-0077,6,100,0
114,8,PROFILE-0169,6,4,0
114,9,PROFILE-0161,6,23,0
115,1,PROFILE-0079,6,50,0
115,2,PROFILE-0076,6,50,0
115,3,PROFILE-0074,6,50,0
115,4,PROFILE-0077,6,88,0
116,1,PROFILE-0148,6,30,0
116,2,PROFILE-0148,6,68,0
116,3,PROFILE-0186,6,6,0
116,4,PROFILE-0128,6,4,0
116,5,PROFILE-0184,6,7,0
116,6,PROFILE-0188,6,30,0
117,1,PROFILE-0133,5,72,0
118,1,PROFILE-0132,6,90,0
119,1,PROFILE-0148,6,72,0
120,1,PROFILE-0079,6,135,0
120,2,PROFILE-0074,6,152,0
120,3,PROFILE-0159,6,30,0
120,4,PROFILE-0064,6,30,0
121,1,PROFILE-0118,6,17,0
121,2,PROFILE-0160,6,8,0
121,3,PROFILE-0163,6,10,0
121,4,PROFILE-0167,6,18,0
121,5,PROFILE-0082,6,12,0
121,6,PROFILE-0079,6,52,0
121,7,PROFILE-0076,6,50,0
122,1,PROFILE-0149,6.2,16,0
122,2,PROFILE-0186,6,40,0
122,3,PROFILE-0083,6,4,0
123,1,PROFILE-0086,6,7,0
123,2,PROFILE-0079,6,100,0
123,3,PROFILE-0076,6,60,0
123,4,PROFILE-0083,6,100,0
124,1,PROFILE-0083,6,82,0
124,2,PROFILE-0079,6,70,0
124,3,PROFILE-0074,6,123,0
124,4,PROFILE-0180,6,44,0
124,5,PROFILE-0180,6,50,0
125,1,PROFILE-0003,6,3,0
125,2,PROFILE-0004,6,1,0
125,3,PROFILE-0006,6,2,0
125,4,PROFILE-0008,6,2,0
125,5,PROFILE-0009,6,1,0
125,6,PROFILE-0010,6,15,0
125,7,PROFILE-0012,6,2,0
126,1,PROFILE-0112,6,5,0
126,2,PROFILE-0152,6,6,0
126,3,PROFILE-0107,6,1,0
127,1,PROFILE-0186,6,3,0
127,2,PROFILE-0128,6,4,0
127,3,PROFILE-0184,6,140,0
127,4,PROFILE-0188,6,30,0
127,5,PROFILE-0107,6,7,0
127,6,PROFILE-0108,6,6,0
127,7,PROFILE-0110,6,20,0
127,8,PROFILE-0112,6,10,0
127,9,PROFILE-0115,6,8,0
128,1,PROFILE-0105,6,229,0
